2002-02-26 02:12:04,553	mayra	aaa4clZiQL--B1	login	null	null	null	192.168.1.102	192.168.1.102	{2, 3, 4, 5, 6, 7, 9}	/role/super-user
2002-02-26 02:13:19,422	mayra	aaa4clZiQL--B1	logout	null	null	null	192.168.1.102	192.168.1.102	{2, 3, 4, 5, 6, 7, 9}	/role/super-user
2002-02-26 02:13:26,474	mayra	aaa4clZiQL--B1	login	null	null	null	192.168.1.102	192.168.1.102	{2, 3, 4, 5, 6, 7, 9}	/role/super-user
2002-02-26 02:21:41,217	mayra	aaa4clZiQL--B1	logout	null	null	null	192.168.1.102	192.168.1.102	{2, 3, 4, 5, 6, 7, 9}	/role/super-user
2002-02-26 02:21:47,108	mayra	aaa4clZiQL--B1	login	null	null	null	192.168.1.102	192.168.1.102	{2, 3, 4, 5, 6, 7, 9}	/role/super-user
2002-02-26 02:26:33,473	mayra	aaa4clZiQL--B1	logout	null	null	null	192.168.1.102	192.168.1.102	{2, 3, 4, 5, 6, 7, 9}	/role/super-user
2002-02-26 02:26:43,423	mayra	aaa4clZiQL--B1	login	null	null	null	192.168.1.102	192.168.1.102	{2, 3, 4, 5, 6, 7, 9}	/role/super-user
2002-02-26 02:28:45,374	mayra	aaa4clZiQL--B1	logout	null	null	null	192.168.1.102	192.168.1.102	{2, 3, 4, 5, 6, 7, 9}	/role/super-user
2002-02-26 02:30:42,297	mayra	aaa4clZiQL--B1	login	null	null	null	192.168.1.102	192.168.1.102	{2, 3, 4, 5, 6, 7, 9}	/role/super-user
2002-02-26 02:57:04,253	mayra	aaa4clZiQL--B1	login	ace	null	null	192.168.1.102	192.168.1.102	{2, 3, 4, 5, 6, 7, 9}	/role/super-user
2002-02-26 03:25:37,092	mayra	aaa4clZiQL--B1	login	null	null	null	192.168.1.102	192.168.1.102	{2, 3, 4, 5, 6, 7, 9}	/role/super-user
2002-02-26 03:51:24,426	mayra	aaa4clZiQL--B1	login	null	null	null	192.168.1.102	192.168.1.102	{2, 3, 4, 5, 6, 7, 9}	/role/super-user
2002-02-26 03:56:49,496	mayra	aaa4clZiQL--B1	logout	null	null	null	192.168.1.102	192.168.1.102	{2, 3, 4, 5, 6, 7, 9}	/role/super-user
2002-02-26 03:57:09,141	mayra	aaa4clZiQL--B1	login	null	null	null	192.168.1.102	192.168.1.102	{2, 3, 4, 5, 6, 7, 9}	/role/super-user
2002-02-26 04:02:28,498	mayra	aaa4clZiQL--B1	login	null	null	null	192.168.1.102	192.168.1.102	{2, 3, 4, 5, 6, 7, 9}	/role/super-user
2002-02-26 04:16:19,786	mayra	aaa4clZiQL--B1	logout	null	null	null	192.168.1.102	192.168.1.102	{2, 3, 4, 5, 6, 7, 9}	/role/super-user
2002-02-26 04:16:48,518	mayra	aaa4clZiQL--B1	login	ace	null	null	192.168.1.102	192.168.1.102	{2, 3, 4, 5, 6, 7, 9}	/role/super-user
2002-02-26 04:21:57,760	mayra	aaa4clZiQL--B1	login	null	null	null	192.168.1.102	192.168.1.102	{2, 3, 4, 5, 6, 7, 9}	/role/super-user
2002-02-26 04:31:50,762	mayra	aaa4clZiQL--B1	login	null	null	null	192.168.1.102	192.168.1.102	{2, 3, 4, 5, 6, 7, 9}	/role/super-user
2002-02-26 04:49:15,543	mayra	aaaaJS1Qqy-HZZ	login	null	null	null	192.168.1.1	192.168.1.1	{2, 3, 4, 5, 6, 7, 9}	/role/super-user
